trainset,model,channel_type,C,SNR_true,SNR_hat,SNR_error,CBR,PSNR,MS_SSIM,MS_SSIM_dB,avg_time
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,1,0,0.33333333333333337,29.414705657958983,,,0.295946741104126
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,4,3,0.33333333333333337,29.279388427734375,,,0.2784999370574951
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,7,6,0.33333333333333337,29.278715133666992,,,0.25711562633514407
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,10,9,0.33333333333333337,26.638623809814455,,,0.24405279159545898
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,13,12,0.33333333333333337,19.90753879547119,,,0.22947185039520263
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,1,-3,0.33333333333333337,32.06497287750244,,,0.26132826805114745
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,4,0,0.33333333333333337,32.192243576049805,,,0.28323588371276853
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,7,3,0.33333333333333337,32.184957122802736,,,0.2827112913131714
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,10,6,0.33333333333333337,32.40797996520996,,,0.24842705726623535
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,13,9,0.33333333333333337,29.749817276000975,,,0.24427368640899658
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,1,-6,0.33333333333333337,34.018218994140625,,,0.24993906021118165
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,4,-3,0.33333333333333337,34.25854721069336,,,0.25198161602020264
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,7,0,0.33333333333333337,34.24931335449219,,,0.25207550525665284
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,10,3,0.33333333333333337,34.92047691345215,,,0.2468266248703003
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,13,6,0.33333333333333337,35.000814056396486,,,0.24308221340179442
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,1,-9,0.33333333333333337,35.69697723388672,,,0.24677963256835939
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,4,-6,0.33333333333333337,36.05436630249024,,,0.2459261894226074
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,7,-3,0.33333333333333337,36.063500595092776,,,0.24459052085876465
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,10,0,0.33333333333333337,36.953556823730466,,,0.2435173749923706
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,13,3,0.33333333333333337,37.39455032348633,,,0.24285826683044434
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,1,-12,0.33333333333333337,37.0165340423584,,,0.2464076280593872
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,4,-9,0.33333333333333337,37.51468772888184,,,0.24596803188323973
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,7,-6,0.33333333333333337,37.540009307861325,,,0.24886889457702638
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,10,-3,0.33333333333333337,38.64693603515625,,,0.24585180282592772
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,13,0,0.33333333333333337,39.19305534362793,,,0.24397175312042235
