trainset,model,channel_type,C,SNR_true,SNR_hat,SNR_error,CBR,PSNR,MS_SSIM,MS_SSIM_dB,avg_time
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,1,0,0.33333333333333337,29.610240745544434,,,0.2599538803100586
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,4,3,0.33333333333333337,29.07769317626953,,,0.2468397617340088
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,7,6,0.33333333333333337,23.147847175598145,,,0.22771334648132324
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,10,9,0.33333333333333337,17.85220069885254,,,0.21901075839996337
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,13,12,0.33333333333333337,16.199634170532228,,,0.2184891700744629
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,1,-3,0.33333333333333337,31.86713237762451,,,0.2726932764053345
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,4,0,0.33333333333333337,32.36868171691894,,,0.2486804723739624
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,7,3,0.33333333333333337,32.36674118041992,,,0.2592302799224854
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,10,6,0.33333333333333337,28.4744779586792,,,0.23368711471557618
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,13,9,0.33333333333333337,24.54612579345703,,,0.22706232070922852
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,1,-6,0.33333333333333337,33.44047508239746,,,0.2521141290664673
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,4,-3,0.33333333333333337,34.27627258300781,,,0.25125632286071775
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,7,0,0.33333333333333337,35.2395378112793,,,0.24647440910339355
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,10,3,0.33333333333333337,35.256475830078124,,,0.24417271614074706
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,13,6,0.33333333333333337,33.945547103881836,,,0.2410186529159546
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,1,-9,0.33333333333333337,34.468332290649414,,,0.2547247886657715
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,4,-6,0.33333333333333337,35.64451675415039,,,0.25003416538238527
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,7,-3,0.33333333333333337,37.18136482238769,,,0.24592888355255127
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,10,0,0.33333333333333337,37.766543579101565,,,0.24447782039642335
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,13,3,0.33333333333333337,37.74744834899902,,,0.24166276454925537
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,1,-12,0.33333333333333337,35.0798095703125,,,0.25427846908569335
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,4,-9,0.33333333333333337,36.52870483398438,,,0.24981722831726075
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,7,-6,0.33333333333333337,38.62578125,,,0.24621446132659913
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,10,-3,0.33333333333333337,39.59278564453125,,,0.24720580577850343
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,13,0,0.33333333333333337,39.78838577270508,,,0.266821551322937
