trainset,model,channel_type,C,SNR_true,SNR_hat,SNR_error,CBR,PSNR,MS_SSIM,MS_SSIM_dB,avg_time
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,1,0,0.33333333333333337,29.213577651977538,,,0.251749324798584
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,4,3,0.33333333333333337,29.20346336364746,,,0.24974479675292968
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,7,6,0.33333333333333337,29.213916969299316,,,0.24891927242279052
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,10,9,0.33333333333333337,29.233351516723634,,,0.2506395816802979
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,13,12,0.33333333333333337,29.210379791259765,,,0.24904019832611085
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,1,-3,0.33333333333333337,32.20194931030274,,,0.24694271087646485
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,4,0,0.33333333333333337,32.21420440673828,,,0.24788966178894042
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,7,3,0.33333333333333337,32.201846313476565,,,0.24796266555786134
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,10,6,0.33333333333333337,32.188323211669925,,,0.24855239391326905
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,13,9,0.33333333333333337,32.19305267333984,,,0.24826419353485107
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,1,-6,0.33333333333333337,34.337395095825194,,,0.27193632125854494
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,4,-3,0.33333333333333337,34.349996185302736,,,0.24381709098815918
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,7,0,0.33333333333333337,34.31515617370606,,,0.24395751953125
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,10,3,0.33333333333333337,34.3087760925293,,,0.24460725784301757
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,13,6,0.33333333333333337,34.310157775878906,,,0.2457373857498169
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,1,-9,0.33333333333333337,36.219822311401366,,,0.24733977317810057
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,4,-6,0.33333333333333337,36.236289978027344,,,0.24480655193328857
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,7,-3,0.33333333333333337,36.19077644348145,,,0.24499375820159913
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,10,0,0.33333333333333337,36.16922607421875,,,0.24646568298339844
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,13,3,0.33333333333333337,36.178747940063474,,,0.2451327085494995
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,1,-12,0.33333333333333337,37.797034454345706,,,0.24557414054870605
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,4,-9,0.33333333333333337,37.820854568481444,,,0.24584107398986815
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,7,-6,0.33333333333333337,37.75650138854981,,,0.2450455904006958
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,10,-3,0.33333333333333337,37.72966117858887,,,0.24856815338134766
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,13,0,0.33333333333333337,37.74079360961914,,,0.244343900680542
