trainset,model,channel_type,C,SNR_true,SNR_hat,SNR_error,CBR,PSNR,MS_SSIM,MS_SSIM_dB,avg_time
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,1,1,0,0.33333333333333337,27.248593711853026,,,0.27590510845184324
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,1,4,3,0.33333333333333337,26.7417329788208,,,0.27019443511962893
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,1,7,6,0.33333333333333337,21.64155521392822,,,0.25033185482025144
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,1,10,9,0.33333333333333337,16.880421829223632,,,0.26897099018096926
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,1,13,12,0.33333333333333337,15.017571258544923,,,0.23883626461029053
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,4,1,-3,0.33333333333333337,28.98523292541504,,,0.2760288953781128
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,4,4,0,0.33333333333333337,29.352573585510253,,,0.27384095191955565
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,4,7,3,0.33333333333333337,29.20407886505127,,,0.26588218212127684
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,4,10,6,0.33333333333333337,26.008693122863768,,,0.25722384452819824
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,4,13,9,0.33333333333333337,21.859125518798827,,,0.2484304428100586
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,7,1,-6,0.33333333333333337,29.966439056396485,,,0.27716708183288574
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,7,4,-3,0.33333333333333337,30.537942123413085,,,0.2746126174926758
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,7,7,0,0.33333333333333337,31.30661849975586,,,0.26996698379516604
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,7,10,3,0.33333333333333337,31.180195236206053,,,0.264104437828064
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,7,13,6,0.33333333333333337,30.043454742431642,,,0.26026809215545654
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,10,1,-9,0.33333333333333337,30.545028686523438,,,0.2755855083465576
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,10,4,-6,0.33333333333333337,31.23350772857666,,,0.27315211296081543
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,10,7,-3,0.33333333333333337,32.32103042602539,,,0.2702460527420044
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,10,10,0,0.33333333333333337,32.80082244873047,,,0.2656430959701538
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,10,13,3,0.33333333333333337,32.74445266723633,,,0.26416821479797364
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,13,1,-12,0.33333333333333337,30.860353851318358,,,0.276662015914917
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,13,4,-9,0.33333333333333337,31.62313232421875,,,0.27625107765197754
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,13,7,-6,0.33333333333333337,32.898433685302734,,,0.2724046468734741
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,13,10,-3,0.33333333333333337,33.624590682983396,,,0.26942195892333987
CIFAR10,SwinJSCC_w/_SA,rayleigh,32,13,13,0,0.33333333333333337,33.81898956298828,,,0.26781651973724363
