trainset,model,channel_type,C,SNR_true,SNR_hat,SNR_error,CBR,PSNR,MS_SSIM,MS_SSIM_dB,avg_time
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,1,0,0.33333333333333337,29.604047584533692,,,0.26166257858276365
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,4,3,0.33333333333333337,29.165419006347655,,,0.24720287322998047
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,7,6,0.33333333333333337,22.981105613708497,,,0.229050350189209
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,10,9,0.33333333333333337,17.665609550476074,,,0.2196953296661377
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,13,12,0.33333333333333337,16.263561630249022,,,0.21891357898712158
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,1,-3,0.33333333333333337,31.891664886474608,,,0.25106856822967527
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,4,0,0.33333333333333337,32.33477020263672,,,0.24730982780456542
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,7,3,0.33333333333333337,32.28780860900879,,,0.24290282726287843
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,10,6,0.33333333333333337,28.15153388977051,,,0.23528332710266114
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,13,9,0.33333333333333337,24.810971832275392,,,0.2297922134399414
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,1,-6,0.33333333333333337,33.43116989135742,,,0.25382239818573
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,4,-3,0.33333333333333337,34.21572074890137,,,0.24960243701934814
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,7,0,0.33333333333333337,35.2476692199707,,,0.2458942174911499
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,10,3,0.33333333333333337,35.14613418579101,,,0.2431471347808838
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,13,6,0.33333333333333337,34.02469367980957,,,0.24009506702423095
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,1,-9,0.33333333333333337,34.40419998168945,,,0.25451757907867434
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,4,-6,0.33333333333333337,35.51249618530274,,,0.25105929374694824
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,7,-3,0.33333333333333337,37.2270751953125,,,0.2463679790496826
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,10,0,0.33333333333333337,37.74630279541016,,,0.24292900562286376
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,13,3,0.33333333333333337,37.6668514251709,,,0.24301278591156006
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,1,-12,0.33333333333333337,34.97115707397461,,,0.2599405527114868
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,4,-9,0.33333333333333337,36.32652206420899,,,0.26170637607574465
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,7,-6,0.33333333333333337,38.674552536010744,,,0.24351217746734619
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,10,-3,0.33333333333333337,39.620653533935545,,,0.24042041301727296
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,13,0,0.33333333333333337,39.693311309814455,,,0.23949904441833497
