trainset,model,channel_type,C,SNR_true,SNR_hat,SNR_error,CBR,PSNR,MS_SSIM,MS_SSIM_dB,avg_time
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,1,0,0.33333333333333337,29.58879280090332,,,0.25644161701202395
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,4,3,0.33333333333333337,29.24221725463867,,,0.28179135322570803
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,7,6,0.33333333333333337,23.051484489440917,,,0.23261759281158448
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,10,9,0.33333333333333337,17.765546226501463,,,0.22320027351379396
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,13,12,0.33333333333333337,16.36772975921631,,,0.2219146490097046
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,1,-3,0.33333333333333337,31.895983695983887,,,0.25641422271728515
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,4,0,0.33333333333333337,32.29522895812988,,,0.25255579948425294
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,7,3,0.33333333333333337,32.2585563659668,,,0.28182153701782225
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,10,6,0.33333333333333337,28.32951488494873,,,0.23470025062561034
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,13,9,0.33333333333333337,25.090031814575195,,,0.23147146701812743
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,1,-6,0.33333333333333337,33.451285171508786,,,0.25281538963317873
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,4,-3,0.33333333333333337,34.14883041381836,,,0.2511207818984985
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,7,0,0.33333333333333337,35.223229217529294,,,0.24851090908050538
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,10,3,0.33333333333333337,35.111381149291994,,,0.2396620512008667
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,13,6,0.33333333333333337,34.07722091674805,,,0.24236550331115722
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,1,-9,0.33333333333333337,34.44292221069336,,,0.253829026222229
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,4,-6,0.33333333333333337,35.420691299438474,,,0.25129473209381104
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,7,-3,0.33333333333333337,37.20733451843262,,,0.24657690525054932
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,10,0,0.33333333333333337,37.68701438903808,,,0.2430117130279541
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,13,3,0.33333333333333337,37.626966094970705,,,0.24157412052154542
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,1,-12,0.33333333333333337,35.02428779602051,,,0.25492775440216064
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,4,-9,0.33333333333333337,36.21629867553711,,,0.2694785833358765
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,7,-6,0.33333333333333337,38.65398254394531,,,0.24723243713378906
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,10,-3,0.33333333333333337,39.55522117614746,,,0.24831681251525878
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,13,0,0.33333333333333337,39.637638092041016,,,0.24553701877593995
