SNR_true,SNR_hat,SNR_error,C,PSNR,MS_SSIM,MS_SSIM_dB
1,1,0,32,29.585854876708986,0.9715509684085846,15.459685114571235
1,4,3,32,29.151810995483398,0.9686078538507223,15.032189062714652
1,7,6,32,22.93654669494629,0.8789006251335144,9.170597636567093
1,10,9,32,17.70806361694336,0.678478249502182,4.929077770582218
1,13,12,32,16.31516372680664,0.5865344117641449,3.835871093153673
4,1,-3,32,31.889247131347656,0.9835268375605345,17.832423317889376
4,4,0,32,32.327905883789064,0.9852410714894533,18.309714397026717
4,7,3,32,32.277383892822264,0.9849934618905186,18.23798190432214
4,10,6,32,28.134208758544922,0.9586999495327473,13.842732541528076
4,13,9,32,24.950225775146485,0.9180676787376404,10.866973586011996
7,1,-6,32,33.42723549194336,0.9884882801070809,19.388763101932405
7,4,-3,32,34.22056494140625,0.9905440432712436,20.243079210205394
7,7,0,32,35.24470700073242,0.9927055485874414,21.370335221338674
7,10,3,32,35.146377642822266,0.992403561746329,21.194360983709377
7,13,6,32,34.046611755371096,0.9899164779677987,19.964784496006274
10,1,-9,32,34.40143608398437,0.9907741825059057,20.350054950012993
10,4,-6,32,35.51124377441406,0.9929919768333435,21.54422352257206
10,7,-3,32,37.229534588623046,0.9954683438397944,23.437594099280943
10,10,0,32,37.74636674194336,0.9960287786800415,24.01101727569106
10,13,3,32,37.67624724121094,0.9959825230441988,23.960726217550455
13,1,-12,32,34.969799157714846,0.9918625683143735,20.895271060673615
13,4,-9,32,36.32616046142578,0.9941649667754769,22.33966944839184
13,7,-6,32,38.67644677734375,0.9967868856415153,24.930931587497764
13,10,-3,32,39.621713348388674,0.9975123372092843,26.04231121969649
13,13,0,32,39.68924438476562,0.99758882124722,26.17795516496762
