SNR_true,SNR_hat,SNR_error,C,PSNR,MS_SSIM,MS_SSIM_dB
1,1,0,32,29.596006842041017,0.9716308231204748,15.471890171705228
1,4,3,32,29.20199848022461,0.9690481594473124,15.093504070714134
1,7,6,32,22.728573684692382,0.8748516969442367,9.027491964511814
1,10,9,32,17.7078216003418,0.6805015250205994,4.956410658139497
1,13,12,32,16.295531494140626,0.5863734290122986,3.8341627303928814
4,1,-3,32,31.90896357727051,0.9836321358561516,17.86027099194792
4,4,0,32,32.32127992553711,0.9852627022773027,18.31607009273839
4,7,3,32,32.263741259765624,0.9849503618866206,18.22551951731983
4,10,6,32,28.29568056640625,0.9602619064867497,14.010034147740456
4,13,9,32,25.0259986328125,0.9192485274553299,10.929951202405343
7,1,-6,32,33.386342822265625,0.9883011263117194,19.318723699326757
7,4,-3,32,34.167024420166015,0.9903926864936948,20.174107736392852
7,7,0,32,35.2518703125,0.9927328323066235,21.386613225372372
7,10,3,32,35.18325854492188,0.992501932001859,21.250907275197704
7,13,6,32,34.118591638183595,0.9900945070311427,20.04219806940125
10,1,-9,32,34.29958278198242,0.9904383964553476,20.194799585118687
10,4,-6,32,35.37711242675781,0.9927125274837018,21.374409203090877
10,7,-3,32,37.24482038574219,0.9954767497010529,23.445653200372266
10,10,0,32,37.74229998779297,0.996031943519786,24.014492274074197
10,13,3,32,37.69446946411133,0.995998630361259,23.978179947642186
13,1,-12,32,34.82735417480469,0.9914563997894525,20.683734510137914
13,4,-9,32,36.128524755859374,0.9938226272448898,22.092067466767904
13,7,-6,32,38.6526682434082,0.9967475548427552,24.878086121046792
13,10,-3,32,39.614619787597654,0.997507505730167,26.03388537749676
13,13,0,32,39.71534710083008,0.9975989882875234,26.19632128593723
