trainset,model,channel_type,C,SNR_true,SNR_hat,SNR_error,CBR,PSNR,MS_SSIM,MS_SSIM_dB,avg_time
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,1,0,0.33333333333333337,29.56879005432129,,,0.2958244800567627
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,4,3,0.33333333333333337,25.023652648925783,,,0.23139843940734864
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,7,6,0.33333333333333337,18.287878227233886,,,0.22426266670227052
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,10,9,0.33333333333333337,15.942974185943603,,,0.22187435626983643
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,13,12,0.33333333333333337,15.217738628387451,,,0.2214494228363037
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,1,-3,0.33333333333333337,30.809517478942873,,,0.2638936758041382
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,4,0,0.33333333333333337,32.63066940307617,,,0.26036226749420166
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,7,3,0.33333333333333337,29.644788932800292,,,0.23359425067901612
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,10,6,0.33333333333333337,24.22963180541992,,,0.22508838176727294
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,13,9,0.33333333333333337,21.747457122802736,,,0.2438809633255005
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,1,-6,0.33333333333333337,30.934480476379395,,,0.26524474620819094
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,4,-3,0.33333333333333337,34.27372856140137,,,0.25394587516784667
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,7,0,0.33333333333333337,35.42344970703125,,,0.24606621265411377
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,10,3,0.33333333333333337,34.07281341552734,,,0.24026782512664796
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,13,6,0.33333333333333337,31.830825805664062,,,0.23340966701507568
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,1,-9,0.33333333333333337,30.883144569396972,,,0.26832635402679444
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,4,-6,0.33333333333333337,34.85020370483399,,,0.2552833080291748
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,7,-3,0.33333333333333337,37.28354911804199,,,0.24841160774230958
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,10,0,0.33333333333333337,37.86207618713379,,,0.24215209484100342
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,13,3,0.33333333333333337,37.51774597167969,,,0.2651224136352539
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,1,-12,0.33333333333333337,30.829020500183105,,,0.2667702198028564
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,4,-9,0.33333333333333337,35.08640251159668,,,0.26698150634765627
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,7,-6,0.33333333333333337,38.24693565368652,,,0.24631268978118898
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,10,-3,0.33333333333333337,39.63109436035156,,,0.24216537475585936
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,13,0,0.33333333333333337,39.840680313110354,,,0.24208931922912597
