trainset,model,channel_type,C,SNR_true,SNR_hat,SNR_error,CBR,PSNR,MS_SSIM,MS_SSIM_dB,avg_time
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,1,0,0.33333333333333337,29.54994602203369,0.9711632095277309,15.400530781325479,0.28390390872955323
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,4,3,0.33333333333333337,28.804969787597656,,,0.24867594242095947
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,7,6,0.33333333333333337,21.591304588317872,,,0.23135173320770264
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,10,9,0.33333333333333337,17.116481018066406,,,0.22255446910858154
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,13,12,0.33333333333333337,16.030985832214355,,,0.22077538967132568
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,1,-3,0.33333333333333337,31.84954833984375,,,0.25237810611724854
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,4,0,0.33333333333333337,32.38039627075195,,,0.24908931255340577
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,7,3,0.33333333333333337,31.794050407409667,,,0.24315087795257567
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,10,6,0.33333333333333337,26.880020523071288,,,0.23531546592712402
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,13,9,0.33333333333333337,24.47794303894043,,,0.23069183826446532
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,1,-6,0.33333333333333337,33.45674591064453,,,0.25111324787139894
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,4,-3,0.33333333333333337,34.32720108032227,,,0.24791572093963624
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,7,0,0.33333333333333337,35.32699813842773,,,0.24349842071533204
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,10,3,0.33333333333333337,34.90146827697754,,,0.24177289009094238
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,13,6,0.33333333333333337,34.001216125488284,,,0.23972887992858888
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,1,-9,0.33333333333333337,34.60154685974121,,,0.27238709926605226
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,4,-6,0.33333333333333337,35.81663780212402,,,0.24746906757354736
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,7,-3,0.33333333333333337,37.37851524353027,,,0.24439191818237305
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,10,0,0.33333333333333337,37.788156509399414,,,0.24131622314453124
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,13,3,0.33333333333333337,37.76100463867188,,,0.23948121070861816
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,1,-12,0.33333333333333337,35.30923271179199,,,0.25103299617767333
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,4,-9,0.33333333333333337,36.837951278686525,,,0.25506038665771485
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,7,-6,0.33333333333333337,38.958931350708006,,,0.2638655662536621
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,10,-3,0.33333333333333337,39.618492889404294,,,0.24412117004394532
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,13,0,0.33333333333333337,39.759057235717776,,,0.24237918853759766
